SN,Btw,Trial,cSrc,cCue,cPE,IMidx,IMname,CueName,Resp,RT,Corr,Conf,cRT,aResp,aRT,aCorr,aConf,aCRT
10,1,86,2,1,1,94, man129.jpg, cue_1.jpg,2,1.0613,1,4,0.5365,4,0.4154,1,4,0.4152
10,1,87,1,2,3,154, man205.jpg, cue_2.jpg,2,1.059,2,3,1.0463,1,2.1436,1,4,0.6712
10,1,88,1,1,1,164, man221.jpg, cue_1.jpg,1,3.3364,1,2,1.3709,4,1.1836,1,3,0.448
10,1,89,1,4,2,9, man016.jpg, cue_4.jpg,1,1.1544,1,4,0.6892,1,0.6716,0,4,0.6474
10,1,90,2,3,4,21, man035.jpg, cue_3.jpg,2,1.1213,1,3,3.0259,1,2.2395,0,2,2.3079
10,1,91,2,1,1,60, man088.jpg, cue_1.jpg,1,1.6086,3,4,0.4049,4,0.3836,1,4,0.3544
10,1,92,3,0,0,34, man055.jpg, ,3,0.8731,1,4,0.276,7,0,7,7,0
10,1,93,1,1,1,165, man222.jpg, cue_1.jpg,1,1.4221,1,4,1.2336,4,1.6636,1,4,0.5835
10,1,94,3,0,0,99, man135.jpg, ,3,0.7723,1,4,0.2434,7,0,7,7,0
10,1,95,1,4,2,88, man122.jpg, cue_4.jpg,2,3.9508,2,1,3.8009,2,0.5431,1,2,0.5119
10,1,96,3,0,0,39, man060.jpg, ,3,1.0892,1,4,0.3391,7,0,7,7,0
10,1,97,1,3,4,206, man283.jpg, cue_3.jpg,1,1.1302,1,4,0.6667,1,0.5437,0,2,3.6229
10,1,98,2,1,1,62, man091.jpg, cue_1.jpg,1,2.7243,3,4,1.5536,4,0.2557,1,4,0.2606
10,1,99,1,3,4,214, man298.jpg, cue_3.jpg,3,4.0154,0,1,1.3347,7,0,7,7,0
10,1,100,3,0,0,211, man295.jpg, ,3,0.804,1,3,1.9058,7,0,7,7,0
10,1,101,1,2,3,232, man322.jpg, cue_2.jpg,1,1.3513,1,3,1.0351,1,0.7034,1,3,0.6437
10,1,102,3,0,0,108, man149.jpg, ,3,0.6863,1,4,0.2729,7,0,7,7,0
10,1,103,1,2,3,105, man144.jpg, cue_2.jpg,1,1.1631,1,4,2.3617,1,2.0794,1,3,1.6473
10,1,104,1,4,2,194, man262.jpg, cue_4.jpg,2,2.8793,2,2,0.4701,2,0.9916,1,3,0.4239
10,1,105,2,2,3,158, man209.jpg, cue_2.jpg,1,1.3237,3,3,0.6916,4,0.8955,0,3,3.1358
10,1,106,1,2,3,4, man007.jpg, cue_2.jpg,1,3.5535,1,3,0.6668,1,0.4154,1,3,0.3983
10,1,107,2,2,3,28, man045.jpg, cue_2.jpg,2,3.8107,1,3,0.6893,1,0.4158,1,3,0.3549
10,1,108,3,0,0,163, man217.jpg, ,3,0.6494,1,4,0.3015,7,0,7,7,0
10,1,109,2,1,1,128, man170.jpg, cue_1.jpg,2,1.5101,1,4,0.4064,4,0.3514,1,4,0.292
10,1,110,1,2,3,137, man183.jpg, cue_2.jpg,1,1.5663,1,4,1.4987,1,2.9753,1,4,0.5912
10,1,111,2,3,4,20, man034.jpg, cue_3.jpg,1,3.8532,3,2,1.4027,3,1.7598,1,4,0.7098
10,1,112,3,0,0,119, man161.jpg, ,3,0.9416,1,4,0.3097,7,0,7,7,0
10,1,113,3,0,0,87, man121.jpg, ,3,0.8144,1,4,0.3147,7,0,7,7,0
10,1,114,2,2,3,17, man029.jpg, cue_2.jpg,1,1.2201,3,3,1.3284,1,0.4795,1,4,1.1554
10,1,115,2,2,3,81, man113.jpg, cue_2.jpg,2,1.0004,1,4,2.2187,1,2.1753,1,3,0.7723
